an,ap,ar,as,br,ch,ct,date,dd,dl,dn,ga,gj,hp,hr,jh,jk,ka,kl,la,ld,mh,ml,mn,mp,mz,nl,or,pb,py,rj,sk,status,tg,tn,tr,tt,un,up,ut,wb
0,0,0,0,0,0,0,14-Mar-20,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,1,0,Recovered,0,0,0,9,0,4,0,0
0,0,0,0,0,0,0,15-Mar-20,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,3,0,Recovered,1,0,0,13,0,4,0,0
0,0,0,0,0,0,0,16-Mar-20,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,3,0,Recovered,1,1,0,14,0,4,0,0
0,0,0,0,0,0,0,17-Mar-20,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,24,0,0,0,0,0,3,0,Recovered,1,1,0,15,0,5,0,0
0,0,0,0,0,0,0,18-Mar-20,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,0,3,0,Recovered,1,1,0,15,0,5,0,0
0,0,0,0,0,0,0,19-Mar-20,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,36,0,0,0,0,0,3,0,Recovered,1,1,0,20,0,9,0,0
0,0,0,0,0,0,0,20-Mar-20,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,42,0,0,0,0,0,3,0,Recovered,1,1,0,23,0,9,0,0
0,0,0,0,0,0,0,21-Mar-20,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,48,0,0,0,0,0,3,0,Recovered,1,1,0,23,0,9,0,0
0,0,0,0,0,0,0,22-Mar-20,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,54,0,0,0,0,0,3,0,Recovered,1,1,0,23,0,9,0,0
0,0,0,0,0,0,0,23-Mar-20,0,5,0,0,0,0,11,0,0,2,3,0,0,0,0,0,60,0,0,0,0,0,3,0,Recovered,1,1,0,35,0,9,0,0
0,0,0,0,0,0,0,24-Mar-20,0,6,0,0,0,0,11,0,0,3,4,0,0,0,0,0,66,0,0,0,0,0,3,0,Recovered,1,1,0,40,0,11,0,0
0,1,0,0,0,0,0,25-Mar-20,0,6,0,0,0,0,11,0,1,3,4,0,0,1,0,0,72,0,0,0,0,0,3,0,Recovered,1,1,0,43,0,11,0,0
0,1,0,0,0,0,0,26-Mar-20,0,6,0,0,0,0,11,0,1,3,11,0,0,1,0,0,78,0,0,0,0,0,3,0,Recovered,1,1,0,50,0,11,0,0
0,1,0,0,0,0,0,27-Mar-20,0,6,0,0,0,1,11,0,1,5,11,3,0,19,0,0,84,0,0,0,1,0,3,0,Recovered,1,2,0,76,0,11,0,0
